Search_method Problem Max_evals Run Score
hill_climber_penalized_score knapPI_11_20_1000_4 10000 46 1400
hill_climber_penalized_score knapPI_11_20_1000_4 10000 47 1280
hill_climber_penalized_score knapPI_11_20_1000_4 10000 48 1320
hill_climber_penalized_score knapPI_11_20_1000_4 10000 49 1400
hill_climber_penalized_score knapPI_13_20_1000_4 10000 0 889
hill_climber_penalized_score knapPI_13_20_1000_4 10000 1 907
hill_climber_penalized_score knapPI_13_20_1000_4 10000 2 889
hill_climber_penalized_score knapPI_13_20_1000_4 10000 3 889
hill_climber_penalized_score knapPI_13_20_1000_4 10000 4 889
hill_climber_penalized_score knapPI_13_20_1000_4 10000 5 889
hill_climber_penalized_score knapPI_13_20_1000_4 10000 6 907
hill_climber_penalized_score knapPI_13_20_1000_4 10000 7 889
hill_climber_penalized_score knapPI_13_20_1000_4 10000 8 889
hill_climber_penalized_score knapPI_13_20_1000_4 10000 9 889
hill_climber_penalized_score knapPI_13_20_1000_4 10000 10 889
hill_climber_penalized_score knapPI_13_20_1000_4 10000 11 889
hill_climber_penalized_score knapPI_13_20_1000_4 10000 12 889
hill_climber_penalized_score knapPI_13_20_1000_4 10000 13 907
hill_climber_penalized_score knapPI_13_20_1000_4 10000 14 907
hill_climber_penalized_score knapPI_13_20_1000_4 10000 15 890
hill_climber_penalized_score knapPI_13_20_1000_4 10000 16 889
hill_climber_penalized_score knapPI_13_20_1000_4 10000 17 890
hill_climber_penalized_score knapPI_13_20_1000_4 10000 18 907
hill_climber_penalized_score knapPI_13_20_1000_4 10000 19 889
hill_climber_penalized_score knapPI_13_20_1000_4 10000 20 889
hill_climber_penalized_score knapPI_13_20_1000_4 10000 21 889
hill_climber_penalized_score knapPI_13_20_1000_4 10000 22 889
hill_climber_penalized_score knapPI_13_20_1000_4 10000 23 889
hill_climber_penalized_score knapPI_13_20_1000_4 10000 24 889
hill_climber_penalized_score knapPI_13_20_1000_4 10000 25 889
hill_climber_penalized_score knapPI_13_20_1000_4 10000 26 889
hill_climber_penalized_score knapPI_13_20_1000_4 10000 27 907
hill_climber_penalized_score knapPI_13_20_1000_4 10000 28 907
hill_climber_penalized_score knapPI_13_20_1000_4 10000 29 889
hill_climber_penalized_score knapPI_13_20_1000_4 10000 30 890
hill_climber_penalized_score knapPI_13_20_1000_4 10000 31 889
hill_climber_penalized_score knapPI_13_20_1000_4 10000 32 890
